,bigram_cluster_0,bigram_cluster_1,bigram_cluster_2,bigram_cluster_3,bigram_cluster_4,bigram_freq_cluster_0,bigram_freq_cluster_1,bigram_freq_cluster_2,bigram_freq_cluster_3,bigram_freq_cluster_4
0,human rights,news agency,gaza strip,mr sharif,united states,159,241,125,62,265
1,president bashar,security forces,west bank,gen musharraf,north korea,124,143,72,49,129
2,security forces,officials say,israeli military,news agency,security council,113,107,57,42,124
3,bashar alassad,death toll,palestinian militants,emergency rule,white house,83,104,25,33,121
4,news agency,km miles,israeli army,suu kyi,news agency,78,103,25,31,108
5,syrian observatory,united states,militant group,general election,united nations,73,100,23,31,99
6,government forces,world cup,palestinian authority,election commission,javascript media,63,74,23,30,92
7,united nations,human rights,gaza city,pervez musharraf,barack obama,54,74,23,29,87
8,security council,people who,east jerusalem,polling stations,president barack,52,66,23,27,78
9,syrian government,set up,human rights,opposition leader,human rights,46,62,22,27,77
10,chemical weapons,suicide bomber,israeli forces,nawaz sharif,security forces,44,59,22,24,63
11,syrian army,police officers,mahmoud abbas,president pervez,un security,37,56,22,24,61
12,united states,bird flu,rocket attacks,house arrest,nuclear weapons,35,55,21,23,60
13,bashar alassads,bin laden,beit hanoun,san suu,state department,34,53,21,21,52
14,un security,shot dead,israeli soldiers,mr ahmadinejad,mr obama,33,52,20,19,52
15,activists say,police chief,news agency,peoples party,european union,32,50,19,19,46
16,km miles,afp news,israeli troops,second round,world cup,29,50,18,18,43
17,opposition activists,interior ministry,middle east,opinion polls,news conference,29,50,17,18,42
18,rebel fighters,bomb attack,president mahmoud,correspondent says,south korea,27,47,17,17,41
19,car bomb,news conference,militant groups,correspondents say,mr ahmadinejad,27,45,17,17,40
20,rights watch,people including,air strikes,benazir bhutto,north koreas,26,44,16,17,38
21,syrian rebels,car bomb,air strike,ms bhutto,news international,25,42,16,17,38
22,agency sana,police station,benjamin netanyahu,guardian council,set up,24,41,16,16,37
23,capital damascus,police say,rocket fire,president musharraf,president george,24,41,16,16,37
24,state news,china sea,peace talks,mr mousavi,president obama,23,41,16,15,36
